analysis,model,item,mean_delta_patient_mae,sample_standard_deviation,minimum,maximum,positive_seed_count,mean_rank,minimum_rank,maximum_rank,rank_range,mean_pairwise_spearman_rank_correlation,descriptively_stable
individual_feature_ablation,attention,bis,25.319697380065918,17.612870843248707,5.7784740924835205,40.52138543128967,5,1.0,1.0,1.0,0.0,0.1254128184588286,True
individual_feature_ablation,attention,bis_slope,-0.00033502578735351737,0.005883611570607898,-0.0089228153228759,0.0075953006744384,3,9.6,2.0,17.0,15.0,0.1254128184588286,False
individual_feature_ablation,attention,bis_sqi,-0.0005811214447021467,0.006114090108996357,-0.010061502456665,0.0070695877075195,4,10.4,3.0,15.0,12.0,0.1254128184588286,False
individual_feature_ablation,attention,dbp,-0.00024228096008302482,0.006976674624184655,-0.01051926612854,0.0091824531555175,3,10.6,4.0,15.0,11.0,0.1254128184588286,False
individual_feature_ablation,attention,etco2,-0.0013319015502929802,0.004330741437074229,-0.0090138912200927,0.0010089874267578,3,8.4,4.0,17.0,13.0,0.1254128184588286,False
individual_feature_ablation,attention,hr,-0.0020976066589355326,0.004658018712119112,-0.0104236602783203,0.0001733303070068,3,10.6,7.0,14.0,7.0,0.1254128184588286,False
individual_feature_ablation,attention,mbp,-0.000996160507202183,0.004515605247058534,-0.0088682174682617,0.0025396347045898,4,7.0,3.0,12.0,9.0,0.1254128184588286,False
individual_feature_ablation,attention,ppf_ce,0.009816455841064468,0.026791015713823297,-0.007486343383789,0.0574121475219726,2,10.0,2.0,16.0,14.0,0.1254128184588286,False
individual_feature_ablation,attention,ppf_cp,0.11632900238037107,0.23816262058422658,-1.5497207641601562e-05,0.5417590141296387,3,7.4,2.0,14.0,12.0,0.1254128184588286,False
individual_feature_ablation,attention,ppf_rate,0.004739952087402345,0.011245547618485733,-0.0013010501861572,0.0248289108276367,3,7.8,3.0,12.0,9.0,0.1254128184588286,False
individual_feature_ablation,attention,ppf_volume,0.0008414745330810382,0.006625228779846571,-0.0085182189941406,0.0100471973419189,4,6.4,2.0,13.0,11.0,0.1254128184588286,True
individual_feature_ablation,attention,rftn_ce,-0.0020427227020263406,0.006011396909182727,-0.0125353336334228,0.0028400421142578,1,14.0,6.0,17.0,11.0,0.1254128184588286,False
individual_feature_ablation,attention,rftn_cp,0.0026801586151122725,0.005098423183313258,-1.3113021850585938e-05,0.011716604232788,3,9.1,3.0,13.0,10.0,0.1254128184588286,False
individual_feature_ablation,attention,rftn_rate,-0.002185201644897469,0.004921580325603846,-0.0109882354736328,0.0001301765441894,2,11.7,8.0,16.0,8.0,0.1254128184588286,False
individual_feature_ablation,attention,rftn_volume,-0.0015065193176269534,0.0035016144976408605,-0.0077700614929199,0.000110387802124,4,9.2,7.0,14.0,7.0,0.1254128184588286,False
individual_feature_ablation,attention,sbp,-0.0016716957092285385,0.004155950097349429,-0.009099006652832,0.0004563331604003,3,9.2,5.0,16.0,11.0,0.1254128184588286,False
individual_feature_ablation,attention,spo2,0.004765748977661133,0.007936450600133852,-0.0001425743103027,0.0181639194488525,2,10.6,3.0,17.0,14.0,0.1254128184588286,False
individual_feature_ablation,gru,bis,5.134232378005981,0.13261134798458402,4.9233574867248535,5.265635251998901,5,1.0,1.0,1.0,0.0,0.36029411764705893,True
individual_feature_ablation,gru,bis_slope,0.2289981365203857,0.0802320027376502,0.1631441116333007,0.3676657676696777,5,3.8,2.0,6.0,4.0,0.36029411764705893,True
individual_feature_ablation,gru,bis_sqi,0.10908761024475093,0.14842403392938935,0.0171055793762207,0.3692786693572998,5,9.0,2.0,13.0,11.0,0.36029411764705893,True
individual_feature_ablation,gru,dbp,0.01195278167724608,0.03073043142116721,-0.0325744152069091,0.0462560653686523,3,13.2,9.0,17.0,8.0,0.36029411764705893,False
individual_feature_ablation,gru,etco2,0.033153581619262656,0.0468701536729073,-0.0052661895751953,0.1137692928314209,4,12.6,6.0,17.0,11.0,0.36029411764705893,True
individual_feature_ablation,gru,hr,0.12333641052246094,0.11311490465367326,0.0376627445220947,0.3168635368347168,5,7.6,4.0,13.0,9.0,0.36029411764705893,True
individual_feature_ablation,gru,mbp,0.10450510978698728,0.1069763060373661,0.0120251178741455,0.2711195945739746,5,8.6,2.0,14.0,12.0,0.36029411764705893,True
individual_feature_ablation,gru,ppf_ce,0.17165303230285642,0.13487009977091766,-0.0169830322265625,0.3410768508911133,4,6.4,3.0,17.0,14.0,0.36029411764705893,True
individual_feature_ablation,gru,ppf_cp,0.05838351249694822,0.05812807776972115,-0.0116879940032958,0.1482017040252685,4,10.6,4.0,16.0,12.0,0.36029411764705893,True
individual_feature_ablation,gru,ppf_rate,0.07570471763610835,0.044670993060996735,0.0147895812988281,0.1155455112457275,5,8.8,4.0,13.0,9.0,0.36029411764705893,True
individual_feature_ablation,gru,ppf_volume,0.10306048393249509,0.09837868299818024,-0.0109682083129882,0.2466661930084228,4,8.8,5.0,15.0,10.0,0.36029411764705893,True
individual_feature_ablation,gru,rftn_ce,0.13887524604797358,0.12813341687727176,0.0121905803680419,0.3517026901245117,5,6.0,2.0,14.0,12.0,0.36029411764705893,True
individual_feature_ablation,gru,rftn_cp,0.10734834671020503,0.07079536873936848,0.0504758358001709,0.217435598373413,5,7.0,4.0,9.0,5.0,0.36029411764705893,True
individual_feature_ablation,gru,rftn_rate,0.07576427459716793,0.10767315741963308,0.0013999938964843,0.2638082504272461,5,10.8,2.0,17.0,15.0,0.36029411764705893,True
individual_feature_ablation,gru,rftn_volume,0.03308849334716792,0.01868145179025369,0.0017483234405517,0.0513622760772705,5,11.6,7.0,16.0,9.0,0.36029411764705893,True
individual_feature_ablation,gru,sbp,0.01735138893127436,0.013469950825571099,0.0036265850067138,0.0322606563568115,5,14.2,10.0,16.0,6.0,0.36029411764705893,True
individual_feature_ablation,gru,spo2,0.030922603607177718,0.03869390483315149,-0.006117820739746,0.0836162567138671,4,13.0,9.0,17.0,8.0,0.36029411764705893,True
group_ablation,attention,bis_quality_and_dynamics,0.0053392887115478,0.005129278272651762,-0.0008292198181152,0.0110623836517333,4,4.6,2.0,6.0,4.0,0.5257142857142858,True
group_ablation,attention,current_bis,25.319697380065918,17.612870843248707,5.7784740924835205,40.52138543128967,5,1.0,1.0,1.0,0.0,0.5257142857142858,True
group_ablation,attention,hemodynamic,0.01510519981384274,0.025390902109154352,0.0004851818084716,0.0600302219390869,5,3.8,3.0,5.0,2.0,0.5257142857142858,True
group_ablation,attention,propofol,0.2573005676269531,0.43531032016796933,0.0002481937408447,1.0287280082702637,5,2.6,2.0,5.0,3.0,0.5257142857142858,True
group_ablation,attention,remifentanil,0.03743143081665038,0.0811600450352481,-0.000314712524414,0.1825623512268066,2,5.0,3.0,6.0,3.0,0.5257142857142858,False
group_ablation,attention,respiratory,0.008667373657226519,0.010841349830058189,0.0007374286651611,0.0226480960845947,5,4.0,3.0,5.0,2.0,0.5257142857142858,True
group_ablation,gru,bis_quality_and_dynamics,0.47487478256225585,0.42224837867328213,0.2705898284912109,1.2294325828552246,5,3.0,2.0,4.0,2.0,0.8457142857142858,True
group_ablation,gru,current_bis,5.134232378005981,0.13261134798458402,4.9233574867248535,5.265635251998901,5,1.0,1.0,1.0,0.0,0.8457142857142858,True
group_ablation,gru,hemodynamic,0.31302056312561033,0.19254471711045842,0.1590266227722168,0.631056547164917,5,3.4,3.0,4.0,1.0,0.8457142857142858,True
group_ablation,gru,propofol,0.8376033306121826,0.7350934889136065,0.1026713848114013,2.014066457748413,5,2.6,2.0,4.0,2.0,0.8457142857142858,True
group_ablation,gru,remifentanil,0.08098697662353509,0.027190154445669253,0.0348458290100097,0.1007938385009765,5,5.6,5.0,6.0,1.0,0.8457142857142858,True
group_ablation,gru,respiratory,0.08304276466369623,0.021576294602270667,0.0474991798400878,0.100926399230957,5,5.4,5.0,6.0,1.0,0.8457142857142858,True
group_permutation,attention,bis_quality_and_dynamics,0.005745315551757788,0.0087735307516911,-0.00030469894409176,0.02035450935363764,4,3.4,2.0,5.0,3.0,0.5657142857142856,True
group_permutation,attention,current_bis,6.645456848144532,0.12070416962216929,6.488062715530395,6.803913736343384,5,1.0,1.0,1.0,0.0,0.5657142857142856,True
group_permutation,attention,hemodynamic,0.001443834304809544,0.001347004150540877,-0.00018954277038572,0.0031800985336303197,4,3.8,3.0,6.0,3.0,0.5657142857142856,True
group_permutation,attention,propofol,0.04115335464477536,0.03864391421519704,-2.3245811462402344e-05,0.08432738780975338,4,2.8,2.0,5.0,3.0,0.5657142857142856,True
group_permutation,attention,remifentanil,0.00015468120574950998,0.0005241203223835782,-0.00020122528076168248,0.0010832071304320901,1,5.2,4.0,6.0,2.0,0.5657142857142856,False
group_permutation,attention,respiratory,0.00010322570800779405,0.0009166492923320154,-0.0012186288833617694,0.0009617090225219199,3,4.8,4.0,6.0,2.0,0.5657142857142856,False
group_permutation,gru,bis_quality_and_dynamics,0.1362521934509277,0.0283437548761783,0.10866277217864986,0.1751291513442993,5,2.0,2.0,2.0,0.0,0.9314285714285715,True
group_permutation,gru,current_bis,6.3762581729888925,0.1074698905576881,6.247093296051025,6.474794626235962,5,1.0,1.0,1.0,0.0,0.9314285714285715,True
group_permutation,gru,hemodynamic,0.01142002105712888,0.007563632185609896,0.0030978918075561302,0.02125988006591792,5,4.4,4.0,5.0,1.0,0.9314285714285715,True
group_permutation,gru,propofol,0.057744936943054145,0.002861491754905498,0.05418088436126704,0.061399483680725064,5,3.0,3.0,3.0,0.0,0.9314285714285715,True
group_permutation,gru,remifentanil,0.009309282302856412,0.011064683055793795,-0.00012626647949217986,0.027493190765380808,4,4.8,4.0,6.0,2.0,0.9314285714285715,True
group_permutation,gru,respiratory,-0.001107115745544421,0.00413271997255754,-0.00497131347656247,0.00395247936248777,2,5.8,5.0,6.0,1.0,0.9314285714285715,False
