model,seed,split,runtime_seconds,completed_epochs,best_epoch,stopped_epoch,mean_epoch_time_seconds,training_batches_per_epoch,sampler_samples_per_epoch,batch_size,num_workers,final_prediction_attention_extraction_seconds,parameter_count,pooled_mae,pooled_rmse,r_squared,patient_mean_mae,patient_median_mae,patient_mae_standard_deviation,patient_mae_interquartile_range,patient_mean_rmse,bis_below_40_mae,bis_40_to_60_mae,bis_above_60_mae,high_bis_auprc,high_bis_auroc,low_bis_auprc,low_bis_auroc,high_bis_bias,prediction_mean,prediction_standard_deviation,inference_seconds
gru,7,val,135.88821849999988,11,3,11,11.673079254545458,268,68470,256,0,3.8117070999999214,30209,3.1932607223852565,4.434598382738251,0.8107834831444314,3.38109135856524,3.3241074785615488,0.6248686949198015,0.9919477542804929,4.678820487788577,3.1002153304318143,3.062770714271265,4.6137774883900935,0.8329377863401931,0.9798385574556454,0.8859055385789901,0.9279700874049726,-3.2471993707430338,43.18906851966193,9.567760576935624,1.1739908999998079
attention,7,val,430.96345629999996,23,15,23,18.275950247826064,268,68470,256,0,3.8668310999998994,24995,3.1701521029463553,4.408690248772849,0.8129879338356913,3.372217650305416,3.287244475795297,0.6105586611613777,0.9446572499252399,4.658554947218025,3.0173032775217616,3.0759604312733893,4.5840950797213615,0.8336892808463363,0.9798231228020365,0.8904782488183077,0.9301939115140134,-3.319117880030959,43.09547026141566,9.474654153665941,1.5620139000002382
gru,7,test,135.88821849999988,11,3,11,11.673079254545458,268,68470,256,0,3.8117070999999214,30209,3.190550010406867,4.390660467068553,0.8143780072648167,3.3235630296150704,3.3423831378935938,0.5015150395220265,0.5271234651511101,4.517635266677039,2.907589811855296,3.2616655184526455,4.348973337466785,0.8694415673794837,0.9857480098470546,0.8783280855113048,0.9068332822143661,-2.923920552701506,42.72444009225071,9.654076516675385,1.1959648000001835
attention,7,test,430.96345629999996,23,15,23,18.275950247826064,268,68470,256,0,3.8668310999998994,24995,3.2068700399811854,4.400461522063728,0.8135483726665614,3.321041755838336,3.332756939914163,0.510059385599805,0.5787016634590922,4.528840111090873,2.7763412915879706,3.357561380057803,4.630882511071745,0.8698089418736327,0.9844132367057761,0.8793214529978789,0.9065389230578829,-3.1131593666961916,42.39313941204139,9.486148870528513,1.7993954000003214
gru,21,val,209.28639079999994,16,8,16,12.686076743749993,268,68470,256,0,2.746502400000054,30209,3.2583829355558165,4.50543858846413,0.8046899443049148,3.434629037098961,3.3742536417704008,0.610921769608358,0.9586503533934225,4.735459910982287,2.930022493940946,3.234645626681501,4.929090830495356,0.8305883326386128,0.9800199883679731,0.8877888556557678,0.9283769257394919,-3.4610536679566564,42.642041497358846,9.52289680756697,1.3802725999994436
attention,21,val,509.45556839999995,23,15,23,21.45601189565221,268,68470,256,0,7.989923999999974,24995,3.213839058751027,4.459486596372535,0.8086536506157231,3.388423595764964,3.394047560165975,0.5857701792440339,0.9065804550131755,4.708247836064784,3.2099495453149,3.054981178618388,4.447133578947368,0.8330525898305378,0.9794558370320794,0.8882035398431484,0.9288069786080169,-2.9365057368421055,43.546518532280786,9.623750251663298,2.934461800000463
gru,21,test,209.28639079999994,16,8,16,12.686076743749993,268,68470,256,0,2.746502400000054,30209,3.2314293972248356,4.425520119148796,0.8114188145558988,3.3475155582982743,3.4305441327345307,0.46991600787127763,0.5050000924523328,4.548342106273944,2.759084681970071,3.431553856047132,4.5164861231178035,0.8770638030971482,0.9862214473929864,0.8785553083713613,0.9063357027423085,-2.683348342781222,42.170130748824086,9.735688638482616,1.0948913000001994
attention,21,test,509.45556839999995,23,15,23,21.45601189565221,268,68470,256,0,7.989923999999974,24995,3.1589565615004704,4.361476045614445,0.8168374396866521,3.28897542520306,3.2948616295157573,0.5284411085040801,0.6181767010778447,4.495728196456431,2.9686492924596837,3.164910897176523,4.271728686448185,0.8723533230240877,0.9846044524827958,0.883182884191838,0.9095604091669762,-2.2836201851195748,43.116691801622764,9.767714721920429,1.4976469999992332
gru,42,val,1615.2501671999926,19,11,19,82.95407086316692,268,68470,256,0,0.0,30209,3.222454710881559,4.4941258770773596,0.8056695214744791,3.398801996071538,3.3788752692307686,0.6182726260250027,0.9382939662774485,4.732892311504994,2.9762414225977127,3.123408483968848,5.096939,0.8193760653203116,0.9771028388358692,0.8919438148540622,0.9305731763868996,-3.7687074179566564,42.995925685409084,9.420842033257,1.0643956000003527
attention,42,val,325.7738752999576,18,10,18,17.442815355542635,268,68470,256,0,4.306510000140406,24995,3.193588381676253,4.447197352234376,0.8097068040997764,3.382908277104005,3.269439947441217,0.5940288072827548,0.951864778492876,4.706542072524344,3.028916242703533,3.116890784363305,4.527275074303406,0.8324614850962706,0.9799763387743272,0.8894591425530326,0.9298817176361188,-2.924301620743034,43.11876626112219,9.713707782674055,1.5551077000000078
gru,42,test,1615.2501671999926,19,11,19,82.95407086316692,268,68470,256,0,0.0,30209,3.242818412335372,4.427958120743224,0.8112109800601852,3.358010496212274,3.337932001996008,0.4795345544006486,0.4963997866426486,4.544000792423399,2.9851912000581144,3.259752577145398,4.678521118689106,0.8739483713685856,0.985717721000228,0.8748432471455323,0.904192386681805,-2.749416776793623,42.82924814422625,9.487425289482369,2.325448100000358
attention,42,test,325.7738752999576,18,10,18,17.442815355542635,268,68470,256,0,4.306510000140406,24995,3.234029378645343,4.4347686673423805,0.810629788829515,3.338877871524016,3.2808908347639485,0.4935803973045169,0.5475422078983305,4.543720255676635,2.9081463020485256,3.3156298757225433,4.5705884083259525,0.8712972149249157,0.9850502507587411,0.8701268424662532,0.9011280036877403,-2.675585244464128,42.666904879938855,9.66328187751148,3.3505887999999686
gru,84,val,165.1278959000001,13,5,13,11.998624784615528,268,68470,256,0,4.487679599999865,30209,3.2110915529404864,4.459399343804521,0.808661138157921,3.3788947072799824,3.264976307692307,0.636511060628789,1.0482884723053632,4.694979280283475,3.1106968863287254,3.060000118236067,4.822587966718267,0.8220871027763893,0.9779205805474601,0.885874183204414,0.9288269869255529,-3.2066654001547987,43.38675943649489,9.497533158060513,2.347867999999835
attention,84,val,594.8334964000001,19,11,19,30.57428409473699,268,68470,256,0,5.814444900000126,24995,3.1649168130062213,4.448388905915148,0.8096048185496493,3.3624999605775416,3.299778590594744,0.627909481636537,1.0140149106098546,4.720134622181906,3.1709685403652506,3.0207648319004754,4.240592948142416,0.8168294454100663,0.9780787857469527,0.8894525323039575,0.9298531517741498,-2.9188852732198143,43.632064636811826,9.644944616724848,2.367297900000267
gru,84,test,165.1278959000001,13,5,13,11.998624784615528,268,68470,256,0,4.487679599999865,30209,3.225030957314205,4.417339868914457,0.8121153272889273,3.337173279922156,3.338378423819742,0.48840117437716835,0.4630087756908865,4.531872087317548,2.995356128141798,3.2419639502000885,4.490330023029229,0.8717334523299681,0.9852322627425264,0.8750851362881474,0.9042095913531818,-2.4040802905225864,42.96519907043744,9.575934435141221,2.34283300000061
attention,84,test,594.8334964000001,19,11,19,30.57428409473699,268,68470,256,0,5.814444900000126,24995,3.1744668920507992,4.419161608641362,0.8119603256086674,3.3075018430369796,3.2583115622317593,0.5272023212619747,0.6262563790464055,4.553196129549483,2.964380746767398,3.171880921187195,4.475871968999114,0.8607211441614173,0.9835815484807577,0.8801781313917494,0.9083544894111992,-2.9881228405668736,43.030659893344314,9.559866387192297,2.7856107000006887
gru,123,val,276.79674339999974,13,5,13,20.07552962307689,268,68470,256,0,8.690618099999938,30209,3.1759923762178657,4.428722714808598,0.8112845598129345,3.3705227335350707,3.3933102378976483,0.6307954092142299,0.9501215688883144,4.684729424654512,3.0757025951527566,3.0070488443410537,4.923625910990712,0.8215286955685978,0.9788781680855407,0.8890159112995428,0.9288423462292092,-3.574629598297214,43.296465045310484,9.380681575843209,1.6167906999999104
attention,123,val,652.7744944000001,20,12,20,31.694878534999997,268,68470,256,0,4.653430000000299,24995,3.1590460258833195,4.454835308554954,0.8090525946563271,3.3790098732544496,3.33766509681881,0.6382496430178642,1.0137989244739556,4.750702641925817,3.1085145627240145,3.0159514799231313,4.483225297213623,0.8148340021680015,0.9783437554930653,0.8872700904621691,0.9283058317062166,-3.1597401037151704,43.38961248967016,9.480052543722548,1.9231410000002143
gru,123,test,276.79674339999974,13,5,13,20.07552962307689,268,68470,256,0,8.690618099999938,30209,3.1937302461782693,4.383388086070843,0.8149924004349054,3.3134341046725257,3.288868817596567,0.4938321308683744,0.517717267977567,4.50601357029671,2.9606686186255993,3.2183346120498,4.418550713020372,0.8732942417666665,0.9855369919694393,0.8795586135987471,0.9074953750786964,-2.6086498520814883,42.88912248171449,9.553434877733867,1.4744549000006373
attention,123,test,652.7744944000001,20,12,20,31.694878534999997,268,68470,256,0,4.653430000000299,24995,3.1556274303857013,4.387648563711241,0.8146325857047196,3.2885272947869213,3.255227371244635,0.5248837169175345,0.65566589545204,4.523737107683325,2.916099714804591,3.1473560260115607,4.681826562444641,0.864721153870212,0.9840888727199624,0.8794869370924489,0.908022793678467,-3.2453029751992917,42.81661982267168,9.42546611972098,2.312045899999248
